Status,Date,Time,Session Type,Teacher Name,School Name,School Level,District,Session Title,volunteer,Organization,volunteer Location,Topic/Theme,Session Link
simulcast,11/2/2023,,,Cynthia Lam,ME Pearson Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Mr. Ryan Fernandez DVM,McKinley Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Danielle Elliott,Compass Elementary,Elementary,Hickman Mills,Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Kathryn Green,Noble Prentis Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,April Schaefer,McKinley Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Grace Green MD,ME Pearson Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Kimberly May,ME Pearson Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Kimberly Rodriguez,McKinley Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Jennifer Mills,Dobbs Elementary,Elementary,Hickman Mills,Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Kenneth Marshall,Mark Twain Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Stephen Daniel,New Chelsea Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Michael Velez,New Chelsea Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Jeanne Campbell,Claude Huyck Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Robert Parker,Claude Huyck Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Morgan Sanchez,New Chelsea Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Penny Poole,New Chelsea Elementary,Elementary,KCKPS (KS),Science in the Sky,,,,,
simulcast,11/2/2023,,,Joel Goodman,Stony Point South Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Erin Moyer,Hazel Grove Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Mitchell Wood,Mark Twain Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Chelsea Hale,Lindbergh Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,James Anderson MD,Brune Elem,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Megan Salazar,Noble Prentis Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Daniel Ray,Noble Prentis Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Luis Williams,Stony Point North Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Jose Roberson,Stony Point North Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Rachel Moore,New Stanley Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Michael Young,ME Pearson Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Joseph Salazar,Eugene Ware Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Nicole Flores,Millennium at Santa Fe Elementary,Elementary,Hickman Mills,Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Christopher Robinson,John Fiske Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Christopher Allen,Ruskin High School,High,Hickman Mills,Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Dalton Lee,Eugene Ware Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,William Miller,Eugene Ware Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Leslie Collins,Quindaro Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Erin Walker,Whittier Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Kelly Arroyo,Millennium at Santa Fe Elementary,Elementary,Hickman Mills,Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Christopher Ware,Millennium at Santa Fe Elementary,Elementary,Hickman Mills,Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Ian Lewis,John Fiske Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Nicholas Miller,Warford Elementary,Elementary,Hickman Mills,Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Emily Roberts,New Stanley Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Joseph Sanders,Millennium at Santa Fe Elementary,Elementary,Hickman Mills,Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Jason Malone,Hazel Grove Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,April Schaefer,McKinley Elementary,Elementary,KCKPS (KS),Science in the Sky,,,Local (KS/MO),,
simulcast,11/2/2023,,,Kaylee Johnson,Truman Elementary,Elementary,Hickman Mills,Science in the Sky,,,Local (KS/MO),,
successfully completed,11/2/2023,3:30 - 4:15pm,Industry chat,Debra Williams,,Elementary,,Unlocking the Door to Apprenticeship and the Fire Protection Trade,Pamela Kelly,South Metro Salem STEM Partnership & UA Road Sprinkler Fitter Local 669,Not local,Emergency Responders,https://prepkc.nepris.com/app/sessions/104063
simulcast,11/2/2023,,,Danielle Elliott,Compass Elementary,Elementary,Hickman Mills,Unlocking the Door to Apprenticeship and the Fire Protection Trade,,,Not local,,
simulcast,11/2/2023,,,Shane Evans,Whittier Elementary,Elementary,KCKPS (KS),Unlocking the Door to Apprenticeship and the Fire Protection Trade,,,Not local,,
successfully completed,11/3/2023,12:30 PM,Industry chat,Debra Williams,,,,Weather Basics and Extreme Weather,Michael Price,,Not local,Weather,https://prepkc.nepris.com/app/industry-chats/104216
simulcast,11/3/2023,,,Joy Lyons,New Stanley Elementary,Elementary,KCKPS (KS),Weather Basics and Extreme Weather,,,Not local,,
simulcast,11/3/2023,,,Nicholas Miller,Warford Elementary,Elementary,Hickman Mills,Weather Basics and Extreme Weather,,,Not local,,
simulcast,11/3/2023,,,Kelly Arroyo,Millennium at Santa Fe Elementary,Elementary,Hickman Mills,Weather Basics and Extreme Weather,,,Not local,,
simulcast,11/3/2023,,,Joanna Garcia,ME Pearson Elementary,Elementary,KCKPS (KS),Weather Basics and Extreme Weather,,,Not local,,
simulcast,11/3/2023,,,Anna Santos,ME Pearson Elementary,Elementary,KCKPS (KS),Weather Basics and Extreme Weather,,,Not local,,
simulcast,11/3/2023,,,Adrian Davis,Frances Willard Elementary,Elementary,KCKPS (KS),Weather Basics and Extreme Weather,,,Not local,,
simulcast,11/3/2023,,,Shelley Myers,McKinley Elementary,Elementary,KCKPS (KS),Weather Basics and Extreme Weather,,,Not local,,
simulcast,11/3/2023,,,Kimberly Carrillo,Hazel Grove Elementary,Elementary,KCKPS (KS),Weather Basics and Extreme Weather,,,Not local,,
simulcast,11/3/2023,,,Ryan Williams,Dobbs Elementary,Elementary,Hickman Mills,Weather Basics and Extreme Weather,,,Not local,,
simulcast,11/3/2023,,,Mrs. Paige Miranda,Stony Point North Elementary,Elementary,KCKPS (KS),Weather Basics and Extreme Weather,,,Not local,,
simulcast,11/3/2023,,,Roy Sanders,Noble Prentis Elementary,Elementary,KCKPS (KS),Weather Basics and Extreme Weather,,,Not local,,
simulcast,11/3/2023,,,Leslie Collins,Quindaro Elementary,Elementary,KCKPS (KS),Weather Basics and Extreme Weather,,,Not local,,
simulcast,11/3/2023,,,Danielle Elliott,Compass Elementary,Elementary,Hickman Mills,Weather Basics and Extreme Weather,,,Not local,,
simulcast,11/3/2023,,,Christopher Allen,Ruskin High School,High,Hickman Mills,Weather Basics and Extreme Weather,,,Not local,,
simulcast,11/3/2023,,,Sherry Villanueva,Whittier Elementary,Elementary,KCKPS (KS),Weather Basics and Extreme Weather,,,Not local,,
simulcast,11/3/2023,,,Sherry Dougherty,Hazel Grove Elementary,Elementary,KCKPS (KS),Weather Basics and Extreme Weather,,,Not local,,
simulcast,11/3/2023,,,Brandon Watkins,Hazel Grove Elementary,Elementary,KCKPS (KS),Weather Basics and Extreme Weather,,,Not local,,
successfully completed,11/3/2023,2:15 PM,Teacher requested,David Rodriguez,TA Edison Elementary,Elementary,KCKPS (KS),Being an Engineer and Making Things Better,Kelly Miller,Burns & McDonnell,Local (KS/MO),Engineering,https://prepkc.nepris.com/app/sessions/104392
simulcast,11/3/2023,,,Sarah Medina,TA Edison Elementary,Elementary,KCKPS (KS),Being an Engineer and Making Things Better,,,Local (KS/MO),,
successfully completed,11/3/2023,9:45 AM,Teacher requested,Donna Valenzuela,,High,Grandview,"Sun, the Moon, and How Light Travels",Kelly Peterson,Self Employed,Not local,Space,https://prepkc.nepris.com/app/sessions/104444
simulcast,11/3/2023,,,Martin Powell,Conn-West Elementary,Elementary,Grandview,"Sun, the Moon, and How Light Travels",,,Not local,,
teacher no-show,11/3/2023,,,Michael Chavez,Conn-West Elementary,Elementary,Grandview,"Sun, the Moon, and How Light Travels",,,Not local,,
teacher no-show,11/3/2023,,,Nicole Arias,Conn-West Elementary,Elementary,Grandview,"Sun, the Moon, and How Light Travels",,,Not local,,
teacher no-show,11/3/2023,,,Stephanie Jackson,Butcher-Greene Elementary,Elementary,Grandview,"Sun, the Moon, and How Light Travels",,,Not local,,
teacher no-show,11/3/2023,,,Teresa Mitchell,Martin City Elementary,Elementary,Grandview,"Sun, the Moon, and How Light Travels",,,Not local,,
teacher no-show,11/3/2023,,,Amber Harris,Martin City Elementary,Elementary,Grandview,"Sun, the Moon, and How Light Travels",,,Not local,,
teacher no-show,11/3/2023,,,Morgan White,Martin City Elementary,Elementary,Grandview,"Sun, the Moon, and How Light Travels",,,Not local,,
teacher no-show,11/3/2023,,,Craig Wilson,Meadowmere Elementary,Elementary,Grandview,"Sun, the Moon, and How Light Travels",,,Not local,,
simulcast,11/3/2023,,,David Gonzalez,Meadowmere Elementary,Elementary,Grandview,"Sun, the Moon, and How Light Travels",,,Not local,,
teacher no-show,11/3/2023,,,Ashley Rosales,Butcher-Greene Elementary,Elementary,Grandview,"Sun, the Moon, and How Light Travels",,,Not local,,
teacher no-show,11/3/2023,,,Amy Forbes,Belvidere Elementary,Elementary,Grandview,"Sun, the Moon, and How Light Travels",,,Not local,,
teacher no-show,11/3/2023,,,Paul Rosales,Belvidere Elementary,Elementary,Grandview,"Sun, the Moon, and How Light Travels",,,Not local,,
teacher no-show,11/3/2023,,,John Patterson,Belvidere Elementary,Elementary,Grandview,"Sun, the Moon, and How Light Travels",,,Not local,,
successfully completed,11/6/2023,10:00 AM,Kansas City Series,Debra Williams,,Elementary,,Veterans Day and Military Service: Why It Matters,Phillip Lopez,Toops Consulting,Local (KS/MO),Military,https://prepkc.nepris.com/app/sessions/104230
simulcast,11/6/2023,,,Brian Martin,Dobbs Elementary,Elementary,Hickman Mills,Veterans Day and Military Service: Why It Matters,,,Local (KS/MO),,
simulcast,11/6/2023,,,Lisa Odom,John Fiske Elementary,Elementary,KCKPS (KS),Veterans Day and Military Service: Why It Matters,,,Local (KS/MO),,
simulcast,11/6/2023,,,Amanda Wilkins,Ervin Early Learning,Elementary,Hickman Mills,Veterans Day and Military Service: Why It Matters,,,Local (KS/MO),,
simulcast,11/6/2023,,,Rebecca Oconnor,Warford Elementary,Elementary,Hickman Mills,Veterans Day and Military Service: Why It Matters,,,Local (KS/MO),,
simulcast,11/6/2023,,,Ricardo Ramirez,Hazel Grove Elementary,Elementary,KCKPS (KS),Veterans Day and Military Service: Why It Matters,,,Local (KS/MO),,
simulcast,11/6/2023,,,Jeremy Osborn,Dobbs Elementary,Elementary,Hickman Mills,Veterans Day and Military Service: Why It Matters,,,Local (KS/MO),,
simulcast,11/6/2023,,,Daniel Good,John Fiske Elementary,Elementary,KCKPS (KS),Veterans Day and Military Service: Why It Matters,,,Local (KS/MO),,
simulcast,11/6/2023,,,Elizabeth Richardson,Frank Rushton Elementary,Elementary,KCKPS (KS),Veterans Day and Military Service: Why It Matters,,,Local (KS/MO),,
simulcast,11/6/2023,,,Troy Miller,Frank Rushton Elementary,Elementary,KCKPS (KS),Veterans Day and Military Service: Why It Matters,,,Local (KS/MO),,
simulcast,11/6/2023,,,Joshua Dickson,Bertram Caruthers Elementary,Elementary,KCKPS (KS),Veterans Day and Military Service: Why It Matters,,,Local (KS/MO),,
simulcast,11/6/2023,,,Jennifer Vargas,Brune Elem,Elementary,KCKPS (KS),Veterans Day and Military Service: Why It Matters,,,Local (KS/MO),,
simulcast,11/6/2023,,,Scott Buchanan,Frank Rushton Elementary,Elementary,KCKPS (KS),Veterans Day and Military Service: Why It Matters,,,Local (KS/MO),,
simulcast,11/6/2023,,,Timothy Anderson,Warford Elementary,Elementary,Hickman Mills,Veterans Day and Military Service: Why It Matters,,,Local (KS/MO),,
simulcast,11/6/2023,,,Jason Malone,Hazel Grove Elementary,Elementary,KCKPS (KS),Veterans Day and Military Service: Why It Matters,,,Local (KS/MO),,
simulcast,11/6/2023,,,Rodney Riggs,Hazel Grove Elementary,Elementary,KCKPS (KS),Veterans Day and Military Service: Why It Matters,,,Local (KS/MO),,
simulcast,11/6/2023,,,Gary Curry,John Fiske Elementary,Elementary,KCKPS (KS),Veterans Day and Military Service: Why It Matters,,,Local (KS/MO),,
simulcast,11/6/2023,,,Todd Griffin,Frank Rushton Elementary,Elementary,KCKPS (KS),Veterans Day and Military Service: Why It Matters,,,Local (KS/MO),,
simulcast,11/6/2023,,,Rebecca Small,West Park,Elementary,KCKPS (KS),Veterans Day and Military Service: Why It Matters,,,Local (KS/MO),,
simulcast,11/6/2023,,,Karen Harmon,Hazel Grove Elementary,Elementary,KCKPS (KS),Veterans Day and Military Service: Why It Matters,,,Local (KS/MO),,
simulcast,11/6/2023,,,Monica Rodriguez,Welborn Elementary,Elementary,KCKPS (KS),Veterans Day and Military Service: Why It Matters,,,Local (KS/MO),,
simulcast,11/6/2023,,,Sean Harris,Welborn Elementary,Elementary,KCKPS (KS),Veterans Day and Military Service: Why It Matters,,,Local (KS/MO),,
simulcast,11/6/2023,,,Gary Simpson,Mark Twain Elementary,Elementary,KCKPS (KS),Veterans Day and Military Service: Why It Matters,,,Local (KS/MO),,
successfully completed,11/6/2023,,Industry chat,Debra Williams,,,,Keeping Sloths Safe,,,Not local,Animal Science,https://prepkc.nepris.com/app/industry-chats/104242
simulcast,11/6/2023,,,Veronica Romero,Frank Rushton Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Ronald Mccall,Welborn Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Kathleen Perry,TA Edison Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Misty Hernandez,TA Edison Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Carla Reynolds,Stony Point South Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Rhonda Hill,Stony Point South Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Laura Lam,Hazel Grove Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Joyce Murray,Hazel Grove Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Dana Banks,New Chelsea Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Howard Jones,Mark Twain Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Carol Williams,Silver City Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Kara Mcintyre,Frank Rushton Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,William Gay,Truman Elementary,Elementary,Hickman Mills,Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Jacqueline Carter,Frank Rushton Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Susan Dominguez,Frank Rushton Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Anna Santos,ME Pearson Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Tamara Rodriguez,TA Edison Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Ryan Morgan,TA Edison Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Ricardo Ramirez,Hazel Grove Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Sherry Dougherty,Hazel Grove Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Debra Allen,ME Pearson Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Joanna Garcia,ME Pearson Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Jennifer Kennedy,Silver City Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Darren Day,Frances Willard Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Karen Harmon,Hazel Grove Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Jason Malone,Hazel Grove Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Erin Moyer,Hazel Grove Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Steven Jimenez,ME Pearson Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
simulcast,11/6/2023,,,Stephanie Morse,Whittier Elementary,Elementary,KCKPS (KS),Keeping Sloths Safe,,,Not local,,
successfully completed,11/8/2023,10:00 AM,Teacher requested,Rachel Perez,Grant Elementary,Elementary,KCKPS (KS),Fashion Design - Fourth Grade,Jeanette Lin,Fashion Arts Fund,Local (KS/MO),Fashion,https://prepkc.nepris.com/app/sessions/104136
simulcast,11/8/2023,,,Christopher Conway,Grant Elementary,Elementary,KCKPS (KS),Fashion Design - Fourth Grade,,,Local (KS/MO),,
white label cancelled,11/8/2023,7:45 AM,Teacher requested,Rhonda Richards,Republic Middle School,Middle,Republic,Travel Agency Project,Rebecca Daniel,,,Business,https://prepkc.nepris.com/app/sessions/104561
white label cancelled,11/8/2023,8:50 AM,Teacher requested,Rhonda Richards,Republic Middle School,Middle,Republic,Travel Agency Project,Rebecca Daniel,,,,https://prepkc.nepris.com/app/sessions/104563
white label cancelled,11/8/2023,9:50 AM,Teacher requested,Rhonda Richards,Republic Middle School,Middle,Republic,Travel Agency Project,Rebecca Daniel,,,,https://prepkc.nepris.com/app/sessions/104564
white label cancelled,11/8/2023,12:17 PM,Teacher requested,Rhonda Richards,Republic Middle School,Middle,Republic,Travel Agency Project,Rebecca Daniel,,,,https://prepkc.nepris.com/app/sessions/104565
white label cancelled,11/8/2023,1:17 PM,Teacher requested,Rhonda Richards,Republic Middle School,Middle,Republic,Travel Agency Project,Rebecca Daniel,,,,https://prepkc.nepris.com/app/sessions/104566
teacher cancelation,11/8/2023,,Teacher requested,Melinda Coleman,Argentine Middle,Middle,KCKPS (KS),Guest Speaker for Wednesdays,Rebecca Daniel,,,,https://prepkc.nepris.com/app/sessions/104567
successfully completed,11/9/2023,11:00 AM,Teacher requested,Mackenzie Myers,Millennium at Santa Fe Elementary,Elementary,Hickman Mills,Hickman Mills College Visit: UCM,Norman Carroll,UCM,Local (KS/MO),College,https://prepkc.nepris.com/app/sessions/104394
simulcast,11/9/2023,,,Debra Dyer,Millennium at Santa Fe Elementary,Elementary,Hickman Mills,Hickman Mills College Visit: UCM,,,,,
simulcast,11/9/2023,,,Ryan Salazar,Millennium at Santa Fe Elementary,Elementary,Hickman Mills,Hickman Mills College Visit: UCM,,,,,
successfully completed,11/9/2023,10:00 AM,Teacher requested,Mackenzie Myers,,Elementary,Hickman Mills,Hickman Mills College Visit: UMKC,Amber Webb,UMKC,Local (KS/MO),College,https://prepkc.nepris.com/app/sessions/104474
simulcast,11/9/2023,,,Eric Koch,Millennium at Santa Fe Elementary,Elementary,Hickman Mills,Hickman Mills College Visit: UMKC,,,Local (KS/MO),,
simulcast,11/9/2023,,,William Mckenzie,Millennium at Santa Fe Elementary,Elementary,Hickman Mills,Hickman Mills College Visit: UMKC,,,Local (KS/MO),,
successfully completed,11/10/2023,11:30-11:50am,,Debra Williams,,Elementary,,Celebrating Veterans Day,Nicole Caldwell,,Not local,Military,https://prepkc.nepris.com/app/sessions/103903
simulcast,11/10/2023,,,Justin Jones,TA Edison Elementary,Elementary,KCKPS (KS),Celebrating Veterans Day,,,Not local,,
simulcast,11/10/2023,,,Sara Schwartz,TA Edison Elementary,Elementary,KCKPS (KS),Celebrating Veterans Day,,,Not local,,
simulcast,11/10/2023,,,Nancy Carroll,Millennium at Santa Fe Elementary,Elementary,Hickman Mills,Celebrating Veterans Day,,,Not local,,
simulcast,11/10/2023,,,Kenneth Marshall,Mark Twain Elementary,Elementary,KCKPS (KS),Celebrating Veterans Day,,,Not local,,
simulcast,11/10/2023,,,Robert Griffin,McKinley Elementary,Elementary,KCKPS (KS),Celebrating Veterans Day,,,Not local,,
simulcast,11/10/2023,,,Sarah Shaw,Claude Huyck Elementary,Elementary,KCKPS (KS),Celebrating Veterans Day,,,Not local,,
simulcast,11/10/2023,,,Howard Jones,Mark Twain Elementary,Elementary,KCKPS (KS),Celebrating Veterans Day,,,Not local,,
simulcast,11/10/2023,,,Nicole Flores,Millennium at Santa Fe Elementary,Elementary,Hickman Mills,Celebrating Veterans Day,,,Not local,,
simulcast,11/10/2023,,,Duane Prince,Whittier Elementary,Elementary,KCKPS (KS),Celebrating Veterans Day,,,Not local,,
simulcast,11/10/2023,,,Nicholas Miller,Warford Elementary,Elementary,Hickman Mills,Celebrating Veterans Day,,,Not local,,
simulcast,11/10/2023,,,Jacob Flores,Emerson Elementary,Elementary,KCKPS (KS),Celebrating Veterans Day,,,Not local,,
simulcast,11/10/2023,,,Andrew Ross,Frances Willard Elementary,Elementary,KCKPS (KS),Celebrating Veterans Day,,,Not local,,
simulcast,11/10/2023,,,Monique Lee,Brune Elem,Elementary,KCKPS (KS),Celebrating Veterans Day,,,Not local,,
simulcast,11/10/2023,,,Melissa Bass,Brune Elem,Elementary,KCKPS (KS),Celebrating Veterans Day,,,Not local,,
simulcast,11/10/2023,,,Leslie Collins,Quindaro Elementary,Elementary,KCKPS (KS),Celebrating Veterans Day,,,Not local,,
simulcast,11/10/2023,,,Danielle Elliott,Compass Elementary,Elementary,Hickman Mills,Celebrating Veterans Day,,,Not local,,
simulcast,11/10/2023,,,Marc Velasquez,Compass Elementary,Elementary,Hickman Mills,Celebrating Veterans Day,,,Not local,,
simulcast,11/10/2023,,,Jeffery Cummings,Ingels Elementary,Elementary,Hickman Mills,Celebrating Veterans Day,,,Not local,,
simulcast,11/10/2023,,,Karen Santiago,Douglass Elementary,Elementary,KCKPS (KS),Celebrating Veterans Day,,,Not local,,
simulcast,11/10/2023,,,Alice Allen,Brune Elem,Elementary,KCKPS (KS),Celebrating Veterans Day,,,Not local,,
simulcast,11/10/2023,,,Yvonne Robbins,Gloria Willis Middle,Middle,KCKPS (KS),Celebrating Veterans Day,,,Not local,,
successfully completed,11/10/2023,11:45 AM,Teacher requested,Kevin Fowler,Brune Elem,Elementary,KCKPS (KS),Video Game Designer,Carol Lee,Bloomfield College,Not local,Game Design,https://prepkc.nepris.com/app/sessions/104011
simulcast,11/10/2023,,,Leonard Parker,Brune Elem,Elementary,KCKPS (KS),Video Game Designer,,,Not local,,
white lable completed,11/10/2023,12:53 PM,Teacher requested,Mario Morales,Staley High,High,North Kansas City,Student Research Project Mentor - Correlation between reading and mental health,Kimberly Morgan,TMTSI,Not local,,https://prepkc.nepris.com/app/sessions/104625
successfully completed,11/13/2023,1:30 PM,Teacher requested,Kelly Watts,Ingels Elementary,Elementary,Hickman Mills,Ingels Elementary: What's it like to be a farmer?,Suzanne Jones,,Local (KS/MO),Agriculture,https://prepkc.nepris.com/app/sessions/104370
simulcast,11/13/2023,,,Michael Cook,Ingels Elementary,Elementary,Hickman Mills,Ingels Elementary: What's it like to be a farmer?,,,Local (KS/MO),,
simulcast,11/13/2023,,,Michael Jackson,Ingels Elementary,Elementary,Hickman Mills,Ingels Elementary: What's it like to be a farmer?,,,Local (KS/MO),,
simulcast,11/13/2023,,,Ashley Juarez,Ingels Elementary,Elementary,Hickman Mills,Ingels Elementary: What's it like to be a farmer?,,,Local (KS/MO),,
successfully completed,11/14/2023,1:30 PM,Teacher requested,Jared Williams,Ingels Elementary,Elementary,Hickman Mills,Ingels Elementary: What does an engineer do?,Kelly Miller,Burns & McDonnell,Local (KS/MO),Engineering,https://prepkc.nepris.com/app/sessions/104371
simulcast,11/14/2023,,,Carlos Crane,Ingels Elementary,Elementary,Hickman Mills,Ingels Elementary: What does an engineer do?,,,Local (KS/MO),,
simulcast,11/14/2023,,,Whitney Torres,Ingels Elementary,Elementary,Hickman Mills,Ingels Elementary: What does an engineer do?,,,Local (KS/MO),,
successfully completed,11/15/2023,2:00 PM,Teacher requested,Alyssa Phillips,Warford Elementary,Elementary,Hickman Mills,Ingels Elementary: Careers in the music industry,Andrew Murray,,Local (KS/MO),Music,https://prepkc.nepris.com/app/sessions/104372
simulcast,11/15/2023,,,Joseph Sanders,Millennium at Santa Fe Elementary,Elementary,Hickman Mills,Ingels Elementary: Careers in the music industry,,,Local (KS/MO),,
simulcast,11/15/2023,,,Brandy Nolan,Ingels Elementary,Elementary,Hickman Mills,Ingels Elementary: Careers in the music industry,,,Local (KS/MO),,
simulcast,11/15/2023,,,Kimberly Anderson,Ingels Elementary,Elementary,Hickman Mills,Ingels Elementary: Careers in the music industry,,,Local (KS/MO),,
Local Professional No-show,11/15/2023,2:00 PM,Kansas City Series,Bradley Hunt,,,,Careers in the Music Industry,Nicole Fuller,Joe Macklin Music,Local (KS/MO),Music,https://prepkc.nepris.com/app/sessions/104523
